image_path,experiment,case_id,case_name,expected_after,what_to_observe,note
experiment_images/C1_edge_overlap_false_positive.jpg,C,C1,edge_overlap_false_positive,should_be_clear_or_lower_score,Object is mostly outside sidewalk; after threshold 0.05 should remove or reduce false positive.,Choose an object on road/near curb whose bbox only touches sidewalk edge.
experiment_images/C2_small_true_object_on_sidewalk.jpg,C,C2,small_true_object_on_sidewalk,should_remain_encroached,Small or distant obstacle actually on sidewalk should still be kept after threshold 0.05.,Choose bin/sign/vendor object small or far but truly on sidewalk.
experiment_images/C3_borderline_partial_sidewalk.jpg,C,C3,borderline_partial_sidewalk,should_depend_on_real_position,Borderline object partially on sidewalk; compare threshold 0.00 before and 0.05 after.,Choose object partly on sidewalk or near sidewalk boundary.
experiment_images/D1_motorbike_on_road_bbox_overlap.png,D,D1,motorbike_on_road_bbox_overlap,should_be_clear,Before overlap-only may count road motorbike; after bottom-contact/road-check should reject it.,"Choose motorbike on road, close to sidewalk; bbox overlaps sidewalk but wheels are on road."
experiment_images/D2_car_on_road_near_sidewalk.jpg,D,D2,car_on_road_near_sidewalk,should_be_clear,Before overlap-only may count road car; after bottom-contact/road-check should reject it.,"Choose car on road near curb, not parked on sidewalk."
experiment_images/D3_vehicle_parked_on_sidewalk.jpg,D,D3,vehicle_parked_on_sidewalk,should_remain_encroached,After bottom-contact should still keep a vehicle truly parked on sidewalk.,Choose motorbike/car with wheels or bottom area on sidewalk.
experiment_images/E1_vendor_cart_duplicate_boxes.jpg,E,E1,vendor_cart_duplicate_boxes,should_count_one,Before may count one vendor cart multiple times; after duplicate suppression should keep one.,Choose vendor cart with overlapping duplicate detections.
experiment_images/E2_motorbike_duplicate_boxes.jpg,E,E2,motorbike_duplicate_boxes,should_count_one,Before may count one motorbike multiple times; after duplicate suppression should keep one.,Choose one motorbike detected as multiple boxes.
experiment_images/E3_two_motorbikes_close_not_duplicate.jpg,E,E3,two_motorbikes_close_not_duplicate,should_not_merge_real_objects,After duplicate suppression should not merge two real nearby motorbikes.,Choose two real objects close together but separated.
experiment_images/F1_clear_or_below_042.jpg,F,F1,clear_or_below_042,Không lấn chiếm,Score should be below 0.42.,Choose clear sidewalk or case with very small score below 0.42.
experiment_images/F2_light_encroachment.jpg,F,F2,light_encroachment,Lấn chiếm nhẹ,Score should be from 0.42 to 1.50.,Choose a small obstacle or low-coverage encroachment.
experiment_images/F3_medium_encroachment.jpg,F,F3,medium_encroachment,Lấn chiếm vừa,Score should be above 1.50 and up to 3.00.,Choose several obstacles or visible sidewalk narrowing.
experiment_images/F4_heavy_encroachment.jpg,F,F4,heavy_encroachment,Lấn chiếm nặng,Score should be above 3.00.,Choose heavy encroachment where sidewalk is mostly blocked.
